"CATEGORY","HANDLE","PARCELID","PROPERTYADDRESS"
"Vacant Lot","10050000105","00509105000","215 LOMBARD ST "
"Fenced & Locked or Paved Lot","13588040190","35889165000","3905 KOSSUTH AV "
"Vacant Lot","13629020300","36299365000","3829 LINCOLN AV "
"Vacant Lot","13637180160","36379050000","3926 ALDINE AV "
"Vacant Lot","13764050130","37649065000","770 AUBERT AV "
"Vacant Lot","13733000190","37339190000","4014 EVANS AV "
"Vacant Lot","13728000280","37289280000","4209 EVANS AV "
"Vacant Lot","13742000270","37429270000","3966 COOK AV "
"Vacant Lot","13742000290","37429290000","3958 COOK AV "
"Garden Lot","13821040140","38219530000","1444 HAMILTON BLVD "
"Vacant Lot","13306000130","33069130000","4240 PRAIRIE AV "
"Vacant Lot","13629020330","36299375000","3839 LINCOLN AV "
"Vacant Building","13629020360","36299390000","3851 LINCOLN AV "
"Vacant Lot","13213000200","32139200000","527 MARCEAU ST "
"Northside Regeneration VL","12371000120","23719120000","3005 ELLIOTT AV "
"Vacant Lot","14553050100","45539050000","4528 PAGE BLVD "
"Vacant Lot","14564000470","45649470000","3957 C D BANKS AV "
"Vacant Lot","14558000015","45589015000","4368 COOK AV "
"Vacant Lot","14540000060","45409060000","6044 CATES AV "
"Vacant Building","14555000040","45559040000","4364 PAGE BLVD "
"Vacant Lot","14531000440","45319440000","5555 COTE BRILLIANTE AV "
"Vacant Lot","14528000030","45289030000","1918 BURD AV "
"Vacant Lot","14528000050","45289050000","1928 BURD AV "
"Vacant Lot","14555000060","45559060000","4358 PAGE BLVD "
"Vacant Building","14555000070","45559070000","4356 PAGE BLVD "
"Vacant Lot","13232000140","32329140000","116 E MARCEAU ST "
"Vacant Lot","13714000130","37149130000","4580 ST LOUIS AV "
"Vacant Lot","13396000030","33969030000","4204 WARNE AV "
"Northside Regeneration VB","12331000200","23319200000","1815 N 20TH ST "
"Vacant Lot","12480000240","24809240000","3719 W FLORISSANT AV "
"Vacant Lot","14564000340","45649340000","3936 FINNEY AV "
"Vacant Lot","14550000250","45509250000","758 CLARA AV "
"Vacant Lot","14555000030","45559030000","4366 PAGE BLVD "
"Vacant Lot","14545000212","45459212000","5849 CLEMENS AV "
"Vacant Lot","14531000370","45319370000","1935 BURD AV "
"Fenced & Locked or Paved Lot","14540000190","45409190000","5948 CATES AV "
"Vacant Lot","14532000050","45329050000","2518 CLARA AV "
"Vacant Building","14520000240","45209240000","3443 ARLINGTON AV "
"Fenced & Locked or Paved Lot","14520000410","45209410000","3323 ARLINGTON AV "
"Vacant Building","14555000050","45559050000","4360 PAGE BLVD "
"Fenced & Locked or Paved Lot","11654000260","16549260000","3637 MISSOURI AV "
"Vacant Lot","13352000260","33529260000","3811 W FLORISSANT AV "
"Vacant Lot","13807090190","38079335000","1383 MONTCLAIR AV "
"Vacant Lot","13815090070","38159290000","1274 GOODFELLOW BLVD "
"Vacant Lot","13737000370","37379370000","3738 COOK AV "
"Fenced & Locked or Paved Lot","13818100140","38189475000","1442 SHAWMUT PL "
"Vacant Lot","13761060770","37619430000","4572 KENSINGTON PL "
"Vacant Lot","13644010150","36449075000","3924 MAFFITT AV "
"Vacant Lot","13644010170","36449085000","3920 MAFFITT AV "
"Vacant Lot","13637180210","36379070000","3910 ALDINE AV "
"Vacant Building","13657000160","36579160000","4010 COTE BRILLIANTE AV "
"Vacant Lot","13664000025","36649025000","1906 WHITTIER ST "
"Vacant Lot","13821040170","38219545000","1445 ROWAN AV "
"Fenced & Locked or Paved Lot","13556010140","35569070000","4646 MORAINE AV "
"Vacant Lot","14573000250","45739250000","4421 DELMAR BLVD "
"Vacant Lot","14573000370","45739370000","4457 DELMAR BLVD "
"Vacant Lot","14571000260","45719260000","921 PENDLETON AV "
"Vacant Lot","13724000190","37249190000","1423 N NEWSTEAD AV "
"Vacant Building","13781000160","37819160000","4754 HAMMETT PL "
"Vacant Lot","13791000250","37919250000","5036 MINERVA AV "
"Vacant Lot","13717000320","37179320000","2525 N TAYLOR AV "
"Vacant Lot","13733000200","37339200000","4010 EVANS AV "
"Vacant Lot","13753000710","37539710000","4039 DELMAR BLVD "
"Vacant Lot","13764050160","37649080000","782 AUBERT AV "
"Vacant Lot","13657000170","36579170000","4006 COTE BRILLIANTE AV "
"Vacant Lot","13657000200","36579200000","4001 ALDINE AV "
"Vacant Lot","13683000215","36839215000","4204 W COTE BRILLIANTE AV "
"Vacant Lot","14571000360","45719360000","4327 ENRIGHT AV "
"Vacant Lot","14573000340","45739340000","4443 DELMAR BLVD "
"Fenced & Locked or Paved Lot","14571000345","45719345000","4321 ENRIGHT AV "
"Vacant Lot","14413000180","44139180000","4464 PENROSE ST "
"Vacant Lot","14380030190","43809095000","4226 AUBERT AV "
"Fenced & Locked or Paved Lot","14501060343","45019330000","5047 HIGHLAND AV "
"Vacant Lot","14478000660","44789660000","4805 NORTHLAND AV "
"Vacant Building","14470000110","44709110000","4640 KENNERLY AV "
"Fenced & Locked or Paved Lot","10267000010","02679010000","1000 N TUCKER BLVD "
"Vacant Lot","13306000120","33069120000","4238 PRAIRIE AV "
"Vacant Lot","13717000260","37179260000","4528 COTTAGE AV "
"Vacant Lot","13791000260","37919260000","5032 MINERVA AV "
"Vacant Lot","14429000020","44299020000","4162 LEE AV "
"Vacant Lot","14413000280","44139280000","4438 PENROSE ST "
"Northside Regeneration VL","11843000240","18439240000","1406 N LEFFINGWELL AV "
"Northside Regeneration VL","10365000020","03659020000","1128 TYLER ST "
"Vacant Lot","14411020185","44119340000","4021 N NEWSTEAD AV "
"Vacant Lot","14411020190","44119345000","4019 N NEWSTEAD AV "
"Vacant Building","14417000040","44179040000","4450 N NEWSTEAD AV "
"Vacant Building","14416160110","44169305000","4452 ANDERSON AV "
"Vacant Lot","14411020280","44119395000","4463 MARGARETTA AV "
"Vacant Lot","12332000140","23329140000","1907 MADISON ST "
"Northside Regeneration VB","11071000190","10719190000","2517 W DODIER ST "
"Vacant Lot","14564000540","45649540000","4005 C D BANKS AV "
"Vacant Lot","14569000050","45699050000","4409 WEST BELLE PL "
"Vacant Lot","14441100100","44419545000","4205 W LEXINGTON AV "
"Vacant Building","14446040390","44469290000","3606 N TAYLOR AV "
"Vacant Lot","12332000060","23329060000","1933 MADISON ST "
"Vacant Lot","11040000080","10409080000","3225 LOCUST BLVD "
"Vacant Lot","11571000290","15719290000","2825 MIAMI ST "
"Fenced & Locked or Paved Lot","10270000030","02709030000","1053 N TUCKER BLVD "
"Vacant Lot","11045000050","10459050000","3314 DELMAR BLVD "
"Fenced & Locked or Paved Lot","11061000100","10619100000","3531 WASHINGTON BLVD "
"Vacant Building","14500010050","45009025000","5042 TERRY AV "
"Vacant Lot","14416160190","44169340000","4428 ANDERSON AV "
"Vacant Lot","14463000270","44639270000","3201 N NEWSTEAD AV "
"Northside Regeneration VL","11843000050","18439050000","2734 CASS AV "
"Vacant Lot","12371000160","23719160000","2723 GREER AV "
"Fenced & Locked or Paved Lot","12371000180","23719180000","2727 GREER AV "
"Northside Regeneration VL","11843000150","18439150000","2711 SHERIDAN AV "
"Vacant Building","11041000100","10419100000","3221 OLIVE ST "
"Vacant Building","11655000380","16559380000","2225 CHIPPEWA ST "
"Vacant Building","11574000060","15749060000","3540 NEBRASKA AV "
"Northside Regeneration VL","11068000140","10689140000","2565 MONTGOMERY ST "
"Northside Regeneration VL","11068000165","10689165000","2569 MONTGOMERY ST "
"Northside Regeneration VL","11069000220","10699220000","2500 W UNIVERSITY ST "
"Vacant Lot","14478000570","44789570000","4753 NORTHLAND AV "
"Vacant Lot","14406030010","44069355000","4000 CORA AV "
"Vacant Building","14406020250","44069300000","4653 FARLIN AV "
"Rehab","14393000010","43939010000","4750 ROSALIE ST "
